q_id_2021,q_text_2021,q_type_2021,q_id_2020,q_text_2020,q_type_2020,jaccardDist
1.3-1,"please list the key development challenges, barriers and opportunities within the gcc program.-type",Question-Column,1.3-1,"please list the key development challenges, barriers and opportunities within the gcc program.-type",Question-Column,0
1.4-4,please list the stakeholder engagement activities for each relevant stakeholder group.-aim of the engagement activities,Question-Column,1.4-4,please list the stakeholder engagement activities for each relevant stakeholder group.-aim of the engagement activities,Question-Column,0
1.5-2-1,please describe to what extent the planning process is transparent and open.-the climate adaptation/mitigation plan makes the criteria and process for prioritizing climate actions explicit-planning process,Question-Column-Row,1.5-2-1,please describe to what extent the planning process is transparent and open.-the climate adaptation/mitigation plan makes the criteria and process for prioritizing climate actions explicit-planning process,Question-Column-Row,0
10.1-1-1,what is the mode share of each transport mode in your city for passenger transport?-private motorized transport-please complete,Question-Column-Row,10.1-1-1,what is the mode share of each transport mode in your city for passenger transport?-private motorized transport-please complete,Question-Column-Row,0
10.1-5-1,what is the mode share of each transport mode in your city for passenger transport?-walking-please complete,Question-Column-Row,10.1-5-1,what is the mode share of each transport mode in your city for passenger transport?-walking-please complete,Question-Column-Row,0
10.11-3-4,please provide city-wide average air pollution metrics from the monitoring sites within your city for the most recent three years.-average concentration for second most recent year available (ug/m3)-pm10 (maximum 24-hour average),Question-Column-Row,10.14-3-4,please provide city-wide average air pollution metrics from the monitoring sites within your city for the most recent three years.-average concentration for second most recent year available (ug/m3)-pm10 (maximum 24-hour average),Question-Column-Row,0
10.11-5-1,please provide city-wide average air pollution metrics from the monitoring sites within your city for the most recent three years.-number of monitoring stations-pm2.5 (1 year (annual) mean),Question-Column-Row,10.14-5-1,please provide city-wide average air pollution metrics from the monitoring sites within your city for the most recent three years.-number of monitoring stations-pm2.5 (1 year (annual) mean),Question-Column-Row,0
10.11-5-2,please provide city-wide average air pollution metrics from the monitoring sites within your city for the most recent three years.-number of monitoring stations-pm2.5 (maximum 24-hour average),Question-Column-Row,10.14-5-2,please provide city-wide average air pollution metrics from the monitoring sites within your city for the most recent three years.-number of monitoring stations-pm2.5 (maximum 24-hour average),Question-Column-Row,0
10.11-5-6,please provide city-wide average air pollution metrics from the monitoring sites within your city for the most recent three years.-number of monitoring stations-o3 (daily maximum 8 hour mean),Question-Column-Row,10.14-5-6,please provide city-wide average air pollution metrics from the monitoring sites within your city for the most recent three years.-number of monitoring stations-o3 (daily maximum 8 hour mean),Question-Column-Row,0
10.3-1-2,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of private cars-electric,Question-Column-Row,10.4-1-2,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of private cars-electric,Question-Column-Row,0
