q_id_2021,q_text_2021,q_type_2021,q_id_2018,q_text_2018,q_type_2018,jaccardDist
0.6-1-1,please provide further details about the geography of your city.-land area of the city boundary as defined in question 0.1 (in square km)-please complete,Question-Column-Row,0.8-2-1,please provide further details about the geography of your city.-land area (in square km)-please complete,Question-Column-Row,0.2816901408450704
10.1-1-1,what is the mode share of each transport mode in your city for passenger transport?-private motorized transport-please complete,Question-Column-Row,11.0-1-1,what is the mode share of each transport mode in your city?-private motorized transport-please complete,Question-Column-Row,0.21568627450980393
10.1-5-1,what is the mode share of each transport mode in your city for passenger transport?-walking-please complete,Question-Column-Row,11.0-5-1,what is the mode share of each transport mode in your city?-walking-please complete,Question-Column-Row,0.21999999999999997
10.3-1-2,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of private cars-electric,Question-Column-Row,11.4-1-2,please provide the total fleet size and number of vehicle types for the following modes of transport:-number of private cars-electric,Question-Column-Row,0
10.3-1-4,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of private cars-plug in hybrid,Question-Column-Row,11.4-1-4,please provide the total fleet size and number of vehicle types for the following modes of transport:-number of private cars-plug in hybrid,Question-Column-Row,0
10.3-2-4,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of buses-plug in hybrid,Question-Column-Row,11.4-2-4,please provide the total fleet size and number of vehicle types for the following modes of transport:-number of buses-plug in hybrid,Question-Column-Row,0
10.3-3-3,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of municipal fleet (excluding buses)-hybrid,Question-Column-Row,11.4-3-3,please provide the total fleet size and number of vehicle types for the following modes of transport:-number of municipal fleet (excluding buses)-hybrid,Question-Column-Row,0
10.3-4-1,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of freight vehicles-total fleet size,Question-Column-Row,11.4-4-1,please provide the total fleet size and number of vehicle types for the following modes of transport:-number of freight vehicles-total fleet size,Question-Column-Row,0
10.3-5-1,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of taxis-total fleet size,Question-Column-Row,11.4-5-1,please provide the total fleet size and number of vehicle types for the following modes of transport:-number of taxis-total fleet size,Question-Column-Row,0
10.3-6-2,"please provide the total fleet size and number of vehicle types for the following modes of transport.-transport network companies (e.g. uber, lyft) fleet size-electric",Question-Column-Row,11.4-6-2,"please provide the total fleet size and number of vehicle types for the following modes of transport:-transport network companies (e.g. uber, lyft) fleet size-electric",Question-Column-Row,0
10.3-6-3,"please provide the total fleet size and number of vehicle types for the following modes of transport.-transport network companies (e.g. uber, lyft) fleet size-hybrid",Question-Column-Row,11.4-6-3,"please provide the total fleet size and number of vehicle types for the following modes of transport:-transport network companies (e.g. uber, lyft) fleet size-hybrid",Question-Column-Row,0
10.3-8-2,please provide the total fleet size and number of vehicle types for the following modes of transport.-comment-electric,Question-Column-Row,11.4-5-2,please provide the total fleet size and number of vehicle types for the following modes of transport:-number of taxis-electric,Question-Column-Row,0.17721518987341767
10.3-8-3,please provide the total fleet size and number of vehicle types for the following modes of transport.-comment-hybrid,Question-Column-Row,11.4-5-3,please provide the total fleet size and number of vehicle types for the following modes of transport:-number of taxis-hybrid,Question-Column-Row,0.17500000000000004
13.1-0,how much of the solid waste generated in your city is disposed to landfill or incineration (tonnes/year)?-none,Question-Column,14.0-1-4,how much solid waste does your city generate (tonnes/person/year)?-amount of solid waste generated (tonnes/person/year)-industrial,Question-Column-Row,0.45833333333333337
13.3-1-4,what is the amount of your city’s total solid waste collected for each of the following sectors (tonnes/year)?-amount of solid waste generated (tonnes/year)-industrial,Question-Column-Row,14.1-1-2,what is the amount of your city’s total solid waste collected for each of the following sectors (tonnes/year)?-amount of total solid waste collected (tonnes/year)-informal sector,Question-Column-Row,0.18461538461538463
14.1-0,what percentage of your city's population has access to potable water supply service?-none,Question-Column,15.1-0,what percentage of your city's population has potable water supply service?-none,Question-Column,0.13043478260869568
14.2a-1,please identify the risks to your city’s water security as well as the timescale and level of risk.-water security risk drivers,Question-Column,15.3a-1,please identify the risks to your city’s water supply as well as the timescale and level of risk.-risks,Question-Column,0.23728813559322037
14.2a-1,please identify the risks to your city’s water security as well as the timescale and level of risk.-water security risk drivers,Question-Column,15.3a-2,please identify the risks to your city’s water supply as well as the timescale and level of risk.-timescale,Question-Column,0.23728813559322037
14.2a-2,please identify the risks to your city’s water security as well as the timescale and level of risk.-anticipated timescale,Question-Column,15.3a-2,please identify the risks to your city’s water supply as well as the timescale and level of risk.-timescale,Question-Column,0.23728813559322037
14.2a-2,please identify the risks to your city’s water security as well as the timescale and level of risk.-anticipated timescale,Question-Column,15.3a-1,please identify the risks to your city’s water supply as well as the timescale and level of risk.-risks,Question-Column,0.23728813559322037
14.2a-4,please identify the risks to your city’s water security as well as the timescale and level of risk.-estimated probability of impact,Question-Column,15.3a-1,please identify the risks to your city’s water supply as well as the timescale and level of risk.-risks,Question-Column,0.3382352941176471
14.2a-4,please identify the risks to your city’s water security as well as the timescale and level of risk.-estimated probability of impact,Question-Column,15.3a-2,please identify the risks to your city’s water supply as well as the timescale and level of risk.-timescale,Question-Column,0.3382352941176471
2.0b-5,"please attach and provide details on your climate change risk and vulnerability assessment. please provide details on the boundary of your assessment, and where this differs from your city’s boundary, please provide an explanation.-explanation of boundary choice where the assessment boundary differs from the city boundary",Question-Column,2.0b-5,"please attach and provide details on your climate change risk or vulnerability assessment. please provide details on the boundary of your assessment, and where this differs from your city’s boundary, please provide an explanation.-explanation of boundary choice",Question-Column,0.012658227848101222
2.1-11,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.-when do you first expect to experience those changes in frequency and intensity?",Question-Column,2.2a-10,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity.  please also select the top 3 assets or services that are affected by the climate hazard, and provide a description of the impact.-impact description",Question-Column,0.12
2.1-12,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.-please describe the impacts experienced so far, and how you expect the hazard to impact in   the future",Question-Column,2.2a-5,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity.  please also select the top 3 assets or services that are affected by the climate hazard, and provide a description of the impact.-probability of hazard",Question-Column,0.08943089430894313
2.1-9,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.-future change in intensity",Question-Column,2.2a-7,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity.  please also select the top 3 assets or services that are affected by the climate hazard, and provide a description of the impact.-future change in frequency",Question-Column,0.07499999999999996
2.1-9,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.-future change in intensity",Question-Column,2.2a-8,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity.  please also select the top 3 assets or services that are affected by the climate hazard, and provide a description of the impact.-future change in intensity",Question-Column,0.07499999999999996
2.2-4,please identify and describe the factors that most greatly affect your city’s ability to adapt to climate change and indicate how those factors either support or challenge this ability.-please describe how the factor supports or challenges the adaptive capacity of your city,Question-Column,2.4-3,"please identify the factors that most greatly affect your city’s ability to adapt to climate change, and indicate how those factors either enhance or challenge this ability.-description",Question-Column,0.18604651162790697
3.2a-6,"please provide more information on your plan that addresses climate change adaptation and/or resilience and attach the document. please provide details on the boundary of your plan, and where this differs from your city’s boundary, please provide an explanation.-boundary of plan relative to city boundary (reported in 0.1)",Question-Column,3.1a-4,"please provide more information on your plan that addresses climate change adaptation and attach the document. please provide details on the boundary of your plan, and where this differs from your city’s boundary, please provide an explanation.-boundary of plan relative to city boundary (reported in 0.1)",Question-Column,0.010638297872340385
3.3-2,please describe the main goals of your city’s adaptation efforts and the metrics / kpis for each goal.-climate hazards that adaptation goal addresses,Question-Column,3.4-1,please describe the main goals of your city’s adaptation efforts and the metrics / kpis for each goal.-adaptation goal,Question-Column,0.25
4.4-0,which gases are included in your city-wide emissions inventory?-none,Question-Column,7.0-0,does your city have a city-wide emissions inventory to report?-none,Question-Column,0.4444444444444444
4.6a-1-30,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-direct emissions (metric tonnes co2e)-total generation of grid-supplied energy",Question-Column-Row,7.4b-1-1,"please provide a breakdown of your ghg emissions by scope. where values are not available, please use the comment field to indicate the reason why.-scope 1 emissions excluding emissions from grid-supplied energy generation-city-wide emissions",Question-Column-Row,0.4970414201183432
4.6a-4-31,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no indirect emissions to report, please select a notation key to explain why-total emissions (excluding generation of grid-supplied energy)",Question-Column-Row,7.4b-1-1,"please provide a breakdown of your ghg emissions by scope. where values are not available, please use the comment field to indicate the reason why.-scope 1 emissions excluding emissions from grid-supplied energy generation-city-wide emissions",Question-Column-Row,0.47904191616766467
4.6a-7-26,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-please explain any excluded sources, identify any emissions covered under an ets and provide any other comments-generation of grid-supplied energy > electricity-only generation",Question-Column-Row,7.4b-1-1,"please provide a breakdown of your ghg emissions by scope. where values are not available, please use the comment field to indicate the reason why.-scope 1 emissions excluding emissions from grid-supplied energy generation-city-wide emissions",Question-Column-Row,0.4825581395348837
4.6b-1-16,please provide a summary of emissions by sector and scope as defined in the global protocol for community greenhouse gas emissions inventories (gpc) in the table below.-emissions (metric tonnes co2e)-total basic emissions,Question-Column-Row,7.3a-1-16,please provide a summary of emissions by sector and scope as defined in the global protocol for community greenhouse gas emissions inventories (gpc) in the table below.-emissions (metric tonnes co2e)-total basic emissions,Question-Column-Row,0
4.6b-1-16,please provide a summary of emissions by sector and scope as defined in the global protocol for community greenhouse gas emissions inventories (gpc) in the table below.-emissions (metric tonnes co2e)-total basic emissions,Question-Column-Row,7.3a-1-17,please provide a summary of emissions by sector and scope as defined in the global protocol for community greenhouse gas emissions inventories (gpc) in the table below.-emissions (metric tonnes co2e)-total basic+ emissions,Question-Column-Row,0
4.6b-1-8,please provide a summary of emissions by sector and scope as defined in the global protocol for community greenhouse gas emissions inventories (gpc) in the table below.-emissions (metric tonnes co2e)-waste: waste generated within the city boundary – scope 1 (iii.x.1),Question-Column-Row,7.3a-1-8,please provide a summary of emissions by sector and scope as defined in the global protocol for community greenhouse gas emissions inventories (gpc) in the table below.-emissions (metric tonnes co2e)-waste: waste generated within the city boundary – scope 1 (iii.x.1),Question-Column-Row,0
4.6f-2,"where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by end user (buildings, water, waste, transport), economic sector (residential, commercial, industrial, institutional), or any other classification system used in your city.-sector",Question-Column,7.6d-2,"where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by end user, or any other classification system used in your city.-sector",Question-Column,0.29000000000000004
4.6f-4,"where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by end user (buildings, water, waste, transport), economic sector (residential, commercial, industrial, institutional), or any other classification system used in your city.-emissions (metric tonnes co2e)",Question-Column,7.6d-4,"where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by end user, or any other classification system used in your city.-emissions (metric tonnes co2e)",Question-Column,0.2407407407407407
4.8-3-1,"please indicate if your city-wide emissions have increased, decreased, or stayed the same since your last emissions inventory, and describe why.-please explain and quantify changes in emissions-please explain",Question-Column-Row,7.11-1-1,"please indicate if your city-wide emissions have increased, decreased, or stayed the same since your last emissions inventory, and please describe why.-change in emissions-please explain",Question-Column-Row,0.13157894736842102
5.0a-5,"please provide details of your total city-wide base year emissions reduction (absolute) target(s). in addition, you may add rows to provide details of your sector-specific targets, by providing the base year emissions specific to that target.-base year",Question-Column,8.3a-3,"please provide details of your total city-wide base year emissions reduction (absolute) target. in addition, you may add rows to provide details of your sector-specific targets, by providing the base year emissions specific to that target.-base year",Question-Column,0
5.0a-6,"please provide details of your total city-wide base year emissions reduction (absolute) target(s). in addition, you may add rows to provide details of your sector-specific targets, by providing the base year emissions specific to that target.-year target was set",Question-Column,8.3a-1,"please provide details of your total city-wide base year emissions reduction (absolute) target. in addition, you may add rows to provide details of your sector-specific targets, by providing the base year emissions specific to that target.-sector",Question-Column,0.013157894736842146
5.0a-6,"please provide details of your total city-wide base year emissions reduction (absolute) target(s). in addition, you may add rows to provide details of your sector-specific targets, by providing the base year emissions specific to that target.-year target was set",Question-Column,8.3a-6,"please provide details of your total city-wide base year emissions reduction (absolute) target. in addition, you may add rows to provide details of your sector-specific targets, by providing the base year emissions specific to that target.-target year",Question-Column,0.013157894736842146
5.0a-6,"please provide details of your total city-wide base year emissions reduction (absolute) target(s). in addition, you may add rows to provide details of your sector-specific targets, by providing the base year emissions specific to that target.-year target was set",Question-Column,8.3a-3,"please provide details of your total city-wide base year emissions reduction (absolute) target. in addition, you may add rows to provide details of your sector-specific targets, by providing the base year emissions specific to that target.-base year",Question-Column,0.013157894736842146
5.0c-11,"please provide details of your total city-wide base year intensity target. an intensity target is usually measured per capita or per unit gdp. if you have an absolute emissions reduction target, please select “base year emissions (absolute) target” in question 5.0.-target year",Question-Column,8.3b-4,"please provide details of your total city-wide base year intensity target. an intensity target is usually measured per capita or per unit gdp. if you have an absolute emissions reduction target, please select “base year emissions (absolute) target” in question 8.3.-base year",Question-Column,0.05714285714285716
5.0c-11,"please provide details of your total city-wide base year intensity target. an intensity target is usually measured per capita or per unit gdp. if you have an absolute emissions reduction target, please select “base year emissions (absolute) target” in question 5.0.-target year",Question-Column,8.3b-3,"please provide details of your total city-wide base year intensity target. an intensity target is usually measured per capita or per unit gdp. if you have an absolute emissions reduction target, please select “base year emissions (absolute) target” in question 8.3.-intensity unit (emissions per)",Question-Column,0.05714285714285716
5.0c-11,"please provide details of your total city-wide base year intensity target. an intensity target is usually measured per capita or per unit gdp. if you have an absolute emissions reduction target, please select “base year emissions (absolute) target” in question 5.0.-target year",Question-Column,8.3b-7,"please provide details of your total city-wide base year intensity target. an intensity target is usually measured per capita or per unit gdp. if you have an absolute emissions reduction target, please select “base year emissions (absolute) target” in question 8.3.-target year",Question-Column,0.05714285714285716
5.0e-1-1,please explain why you do not have a city-wide emissions reduction target and any plans to set one in the future.-reason-please explain,Question-Column-Row,8.3d-1-1,please explain why you do not have a city-wide emissions reduction target and any plans to set one in the future.-reason-please explain,Question-Column-Row,0
5.5a-7,"please attach your city’s climate change mitigation plan below. if your city has both mitigation and energy access plans, please make sure to attach all relevant documents below.-if the city boundary is different from the plan boundary, please explain why and any areas/other cities excluded or included",Question-Column,3.1a-5,"please provide more information on your plan that addresses climate change adaptation and attach the document. please provide details on the boundary of your plan, and where this differs from your city’s boundary, please provide an explanation.-explanation of boundary choice",Question-Column,0.47540983606557374
6.2a-3,please provide some key examples of how your city collaborates with business and/or industries in the table below.-description of collaboration,Question-Column,5.1a-2,please provide some key examples of how your city collaborates with business in the table below.-description of collaboration,Question-Column,0.140625
7.6-4-1,"please provide total (scope 1 + scope 2) ghg emissions for your local government operations, in metric tonnes co2e.-comment-local government emissions breakdown",Question-Column-Row,6.7-4-1,"please provide total (scope 1 + scope 2) ghg emissions for your local government operations, in metric tonnes co2e. scopes are a common categorization method.-comment-local government emissions breakdown",Question-Column-Row,0.12048192771084343
7.7b-1-1,"please explain why you do not measure your local government scope 3 emissions and detail your plans to do so in the future, if any.-reason-please explain",Question-Column-Row,7.9b-1,"please explain why not and detail your plans to do so in the future, if any.-reasoning",Question-Column,0.4285714285714286
