q_id_2021,q_text_2021,q_type_2021,q_id_2022,q_text_2022,q_type_2021,jaccardDist
1.6-1-1,please provide information on the overall impact of covid-19 on climate action in your city.-impact of covid-19 on climate action in your city-response,Question-Column-Row,3.9-3-1,provide information on the current impact of the covid-19 pandemic on climate action in the jurisdiction.-climate-related impact of covid-19 recovery interventions-response,Question-Column-Row,0.4683544303797469
10.1-1-1,what is the mode share of each transport mode in your city for passenger transport?-private motorized transport-please complete,Question-Column-Row,3.5-9-1,report your jurisdiction’s passenger and/or freight mode share data.-passenger mode share: private motorized transport-please complete,Question-Column-Row,0.41333333333333333
10.3-1-2,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of private cars-electric,Question-Column-Row,3.6-1-3,"report the total emissions, fleet size and number of vehicle types for the following modes of transport.-private vehicles-electric fleet size per mode",Question-Column-Row,0.3023255813953488
10.3-1-4,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of private cars-plug in hybrid,Question-Column-Row,3.6-1-5,"report the total emissions, fleet size and number of vehicle types for the following modes of transport.-private vehicles-plug in hybrid electric vehicle fleet size per mode",Question-Column-Row,0.28260869565217395
10.3-2-4,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of buses-plug in hybrid,Question-Column-Row,3.6-2-5,"report the total emissions, fleet size and number of vehicle types for the following modes of transport.-buses-plug in hybrid electric vehicle fleet size per mode",Question-Column-Row,0.2272727272727273
10.3-5-1,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of taxis-total fleet size,Question-Column-Row,3.6-1-2,"report the total emissions, fleet size and number of vehicle types for the following modes of transport.-private vehicles-total fleet size per mode",Question-Column-Row,0.2911392405063291
10.3-6-2,"please provide the total fleet size and number of vehicle types for the following modes of transport.-transport network companies (e.g. uber, lyft) fleet size-electric",Question-Column-Row,3.6-5-5,"report the total emissions, fleet size and number of vehicle types for the following modes of transport.-taxis/transport network companies/carshares-plug in hybrid electric vehicle fleet size per mode",Question-Column-Row,0.3423423423423423
10.3-6-3,"please provide the total fleet size and number of vehicle types for the following modes of transport.-transport network companies (e.g. uber, lyft) fleet size-hybrid",Question-Column-Row,3.6-5-4,"report the total emissions, fleet size and number of vehicle types for the following modes of transport.-taxis/transport network companies/carshares-hybrid electric vehicle fleet size per mode",Question-Column-Row,0.33333333333333337
10.3-6-3,"please provide the total fleet size and number of vehicle types for the following modes of transport.-transport network companies (e.g. uber, lyft) fleet size-hybrid",Question-Column-Row,3.6-5-5,"report the total emissions, fleet size and number of vehicle types for the following modes of transport.-taxis/transport network companies/carshares-plug in hybrid electric vehicle fleet size per mode",Question-Column-Row,0.33333333333333337
10.3-8-2,please provide the total fleet size and number of vehicle types for the following modes of transport.-comment-electric,Question-Column-Row,3.6-6-3,"report the total emissions, fleet size and number of vehicle types for the following modes of transport.-comment-electric fleet size per mode",Question-Column-Row,0.19999999999999996
