q_id,q_text,q_type,Response Answer,q_text_cln
2.1c-2-11,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-waste: waste generated within the city boundary – scope 1",Question-Column-Row,957,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whywast wast generat within the citi boundari – scope 1
2.1c-2-12,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-waste: waste generated within the city boundary – scope 3",Question-Column-Row,961,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whywast wast generat within the citi boundari – scope 3
2.1c-2-13,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-waste: waste generated outside the city boundary – scope 1",Question-Column-Row,966,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whywast wast generat outsid the citi boundari – scope 1
2.1c-2-14,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-industrial processes and product use – scope 1",Question-Column-Row,962,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whyindustri process and product use – scope 1
2.1c-2-15,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-agriculture, forestry and land use – scope 1",Question-Column-Row,964,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whyagricultur forestri and land use – scope 1
2.1c-2-16,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-total basic emissions",Question-Column-Row,955,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whytot basic emiss
2.1c-2-17,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-total basic+ emissions",Question-Column-Row,960,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whytot basic emiss
2.1c-2-2,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-scope 1 emissions from generation of grid-supplied energy",Question-Column-Row,899,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whyscop 1 emiss from generat of gridsuppli energi
2.1c-2-3,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-total scope 2 emissions",Question-Column-Row,873,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whytot scope 2 emiss
2.1c-2-4,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-total scope 3 emissions",Question-Column-Row,891,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whytot scope 3 emiss
2.1c-2-5,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-stationary energy: energy use – scope 1",Question-Column-Row,953,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whystationari energi energi use – scope 1
2.1c-2-6,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-stationary energy: energy use – scope 2",Question-Column-Row,955,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whystationari energi energi use – scope 2
2.1c-2-7,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-stationary energy: energy use – scope 3",Question-Column-Row,962,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whystationari energi energi use – scope 3
2.1c-2-8,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-transportation – scope 1",Question-Column-Row,953,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whytransport – scope 1
2.1c-2-9,"provide a breakdown of your community-wide emissions by scope. if the inventory has been developed using the global protocol for community greenhouse gas emissions inventories (gpc) you will also be requested to provide a breakdown by sector.-if you have no emissions to report, please select a notation key to explain why-transportation – scope 2",Question-Column-Row,960,provid breakdown of your communitywid emiss by scope if the inventori been develop use the global protocol for communiti greenhous gas emiss inventori gpc you will also be request to provid breakdown by sectorif you have emiss to report pleas select notat key to explain whytransport – scope 2
