q_id,q_text,q_type,Response Answer,q_text_cln
4.6a-2-31,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no direct emissions to report, please select a notation key to explain why-total emissions (excluding generation of grid-supplied energy)",Question-Column-Row,428,the global coven of mayor requir commit citi to report their inventori in the format of the new common report framework to encourag standard report of emiss data pleas provid breakdown of your citywid emiss by sector and subsector in the tabl below where emiss data is not avail pleas use the relev notat key to explain the reason whyif you have direct emiss to report pleas select notat key to explain whytot emiss exclud generat of gridsuppli energi
4.6a-2-4,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no direct emissions to report, please select a notation key to explain why-stationary energy > industrial buildings & facilities",Question-Column-Row,483,the global coven of mayor requir commit citi to report their inventori in the format of the new common report framework to encourag standard report of emiss data pleas provid breakdown of your citywid emiss by sector and subsector in the tabl below where emiss data is not avail pleas use the relev notat key to explain the reason whyif you have direct emiss to report pleas select notat key to explain whystationari energi industri build facil
4.6a-2-5,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no direct emissions to report, please select a notation key to explain why-stationary energy > agriculture",Question-Column-Row,565,the global coven of mayor requir commit citi to report their inventori in the format of the new common report framework to encourag standard report of emiss data pleas provid breakdown of your citywid emiss by sector and subsector in the tabl below where emiss data is not avail pleas use the relev notat key to explain the reason whyif you have direct emiss to report pleas select notat key to explain whystationari energi agricultur
4.6a-2-6,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no direct emissions to report, please select a notation key to explain why-stationary energy > fugitive emissions",Question-Column-Row,559,the global coven of mayor requir commit citi to report their inventori in the format of the new common report framework to encourag standard report of emiss data pleas provid breakdown of your citywid emiss by sector and subsector in the tabl below where emiss data is not avail pleas use the relev notat key to explain the reason whyif you have direct emiss to report pleas select notat key to explain whystationari energi fugit emiss
4.6a-2-7,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no direct emissions to report, please select a notation key to explain why-total stationary energy",Question-Column-Row,417,the global coven of mayor requir commit citi to report their inventori in the format of the new common report framework to encourag standard report of emiss data pleas provid breakdown of your citywid emiss by sector and subsector in the tabl below where emiss data is not avail pleas use the relev notat key to explain the reason whyif you have direct emiss to report pleas select notat key to explain whytot stationari energi
4.6a-2-8,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no direct emissions to report, please select a notation key to explain why-transportation > on-road",Question-Column-Row,414,the global coven of mayor requir commit citi to report their inventori in the format of the new common report framework to encourag standard report of emiss data pleas provid breakdown of your citywid emiss by sector and subsector in the tabl below where emiss data is not avail pleas use the relev notat key to explain the reason whyif you have direct emiss to report pleas select notat key to explain whytransport onroad
4.6a-2-9,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no direct emissions to report, please select a notation key to explain why-transportation > rail",Question-Column-Row,560,the global coven of mayor requir commit citi to report their inventori in the format of the new common report framework to encourag standard report of emiss data pleas provid breakdown of your citywid emiss by sector and subsector in the tabl below where emiss data is not avail pleas use the relev notat key to explain the reason whyif you have direct emiss to report pleas select notat key to explain whytransport rail
4.6a-3-1,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes co2e)-stationary energy > residential buildings",Question-Column-Row,664,the global coven of mayor requir commit citi to report their inventori in the format of the new common report framework to encourag standard report of emiss data pleas provid breakdown of your citywid emiss by sector and subsector in the tabl below where emiss data is not avail pleas use the relev notat key to explain the reason whyindirect emiss from the use of gridsuppli electr heat steam andor cool metric tonn co2estationari energi residenti build
4.6a-3-10,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes co2e)-transportation > waterborne navigation",Question-Column-Row,434,the global coven of mayor requir commit citi to report their inventori in the format of the new common report framework to encourag standard report of emiss data pleas provid breakdown of your citywid emiss by sector and subsector in the tabl below where emiss data is not avail pleas use the relev notat key to explain the reason whyindirect emiss from the use of gridsuppli electr heat steam andor cool metric tonn co2etransport waterborn navig
4.6a-3-11,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes co2e)-transportation > aviation",Question-Column-Row,431,the global coven of mayor requir commit citi to report their inventori in the format of the new common report framework to encourag standard report of emiss data pleas provid breakdown of your citywid emiss by sector and subsector in the tabl below where emiss data is not avail pleas use the relev notat key to explain the reason whyindirect emiss from the use of gridsuppli electr heat steam andor cool metric tonn co2etransport aviat
4.6a-3-12,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes co2e)-transportation > off-road",Question-Column-Row,429,the global coven of mayor requir commit citi to report their inventori in the format of the new common report framework to encourag standard report of emiss data pleas provid breakdown of your citywid emiss by sector and subsector in the tabl below where emiss data is not avail pleas use the relev notat key to explain the reason whyindirect emiss from the use of gridsuppli electr heat steam andor cool metric tonn co2etransport offroad
4.6a-3-13,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes co2e)-total transport",Question-Column-Row,518,the global coven of mayor requir commit citi to report their inventori in the format of the new common report framework to encourag standard report of emiss data pleas provid breakdown of your citywid emiss by sector and subsector in the tabl below where emiss data is not avail pleas use the relev notat key to explain the reason whyindirect emiss from the use of gridsuppli electr heat steam andor cool metric tonn co2etot transport
4.6a-3-14,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes co2e)-waste > solid waste disposal",Question-Column-Row,437,the global coven of mayor requir commit citi to report their inventori in the format of the new common report framework to encourag standard report of emiss data pleas provid breakdown of your citywid emiss by sector and subsector in the tabl below where emiss data is not avail pleas use the relev notat key to explain the reason whyindirect emiss from the use of gridsuppli electr heat steam andor cool metric tonn co2ewast solid wast dispos
4.6a-3-15,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes co2e)-waste > biological treatment",Question-Column-Row,433,the global coven of mayor requir commit citi to report their inventori in the format of the new common report framework to encourag standard report of emiss data pleas provid breakdown of your citywid emiss by sector and subsector in the tabl below where emiss data is not avail pleas use the relev notat key to explain the reason whyindirect emiss from the use of gridsuppli electr heat steam andor cool metric tonn co2ewast biolog treatment
